"real_B2G_CEE$real_B2G"
"1";664.329173897952
"2";682.599679281591
"3";703.207581062566
"4";718.142682753726
"5";739.192715231788
"6";753.874234279285
"7";786.259303012404
"8";823.186630832571
"9";833.702357498616
"10";873.657126388598
"11";904.861556862354
"12";940.593883155004
"13";995.188151005787
"14";984.90776259839
"15";982.313016070319
"16";978.831618416463
"17";1008.90208601597
"18";1005.65261044177
"19";1016.10676063263
"20";1027.10993197279
"21";1066.91177100872
"22";1108.9537071328
"23";1114.50356653938
"24";1172.89495346432
"25";1177.88742032875
"26";1176.01558407543
"27";1210.33117829752
"28";1241.71657608696
"29";1234.90985864224
"30";1270.87861971665
"31";1297.06345486605
"32";1312.56260657734
"33";1352.13651218859
"34";1355.92170853748
"35";1377.75897096281
"36";1429.44943123061
"37";1444.16276487908
"38";1461.62114583333
"39";1491.73908615469
"40";1503.34562664643
"41";1559.54759903962
"42";1603.19219674556
"43";1633.77845584472
"44";1670.90730622857
"45";1743.57568865302
"46";1761.0046526913
"47";1794.68296036757
"48";1811.90439161714
"49";1850.00127977248
"50";1831.94036477629
"51";1843.52489288069
"52";1763.31286454958
"53";1662.18835812821
"54";1663.88164754953
"55";1639.75310989278
"56";1498.68732304624
"57";1327.93979633401
"58";1301.97931146266
"59";1289.86509048647
"60";1339.37375
"61";1395.27432613893
"62";1452.98257308828
"63";1534.03312853431
"64";1622.71042593957
"65";1690.15050737614
"66";1711.85391612065
"67";1739.39786145475
"68";1739.07392367386
"69";1772.84836840182
"70";1786.71956454997
"71";1824.88919981848
"72";1817.16890033939
"73";1851.39028879721
"74";1803.32355998163
"75";1807.22053579941
"76";1805.03848328504
"77";1840.93448035016
"78";1811.01411449553
"79";1792.16779684283
"80";1746.88832178162
"81";1764.42091378409
"82";1735.83122110416
"83";1674.69426096373
